@relation 'Cleaned_data -ver 4'

@attribute LOC numeric
@attribute NBI numeric
@attribute LOCCOM numeric
@attribute NPM numeric
@attribute NSTAM numeric
@attribute NOF numeric
@attribute NSTAF numeric
@attribute NMC numeric
@attribute NMCI numeric
@attribute NMCE numeric
@attribute WMC numeric
@attribute AMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute MFA numeric
@attribute CBO numeric
@attribute IC numeric
@attribute CBM numeric
@attribute CA numeric
@attribute CE numeric
@attribute LCOM numeric
@attribute LCOM3 numeric
@attribute CAM numeric
@attribute DAM numeric
@attribute NPRIF numeric
@attribute NPRIM numeric
@attribute NPROM numeric
@attribute T-LOC numeric
@attribute T-NOT numeric
@attribute T-NOA numeric
@attribute T-NMC numeric
@attribute T-WMC numeric
@attribute T-AMC numeric
@attribute MUTATION_SCORE {0,1}

@data
68,184,0,5,0,12,0,26,8,18,5,25.4,29,3,0,0.33,11,0,0,0,11,4,0.9,0.47,1,12,0,0,44,1,1,21,2,255.5,0
66,108,58,7,0,3,1,13,1,12,7,9.43,17,1,0,0,2,0,0,0,2,9,0.61,0.48,1,3,0,0,48,2,2,13,4,9.75,0
54,71,47,4,0,2,2,10,9,1,6,5.83,12,2,0,0.55,6,1,1,0,6,15,1.2,0.38,0,0,0,2,94,8,8,36,11,13.91,0
66,68,53,4,0,3,1,9,3,6,6,6.67,12,2,0,0.69,2,1,1,0,2,11,0.8,0.37,0.67,2,1,0,187,10,16,81,12,27.42,0
51,103,38,2,0,0,0,20,1,19,3,21.67,15,5,0,0.93,12,1,1,0,12,3,2,0.47,0,0,1,0,50,2,4,43,4,31,0
89,126,82,4,0,1,0,25,14,11,7,9.57,24,2,0,0.75,3,1,5,0,3,15,0.5,0.43,1,1,1,2,31,1,4,10,2,21.5,0
61,76,61,5,0,2,0,12,2,10,5,9.4,16,1,0,0,6,0,0,0,6,0,0.38,0.4,1,2,0,0,59,2,2,27,3,22.33,0
54,91,54,4,0,2,0,17,0,17,4,15.75,18,1,0,0,1,0,0,1,0,0,0.17,0.5,1,2,0,0,54,3,4,21,8,8.25,0
175,186,175,11,4,0,0,27,25,2,15,7.67,29,2,0,0.76,11,0,0,0,11,105,2,0.31,0,0,4,0,70,2,0,26,4,20.5,0
143,163,143,3,1,2,0,30,9,21,5,20.4,36,1,0,0,24,0,0,0,24,6,0.5,0.37,1,2,2,0,291,9,0,117,12,54.5,0
75,238,0,2,1,3,3,33,5,28,7,19.29,28,4,0,0.86,5,1,2,0,5,19,0.94,0.44,1,3,1,3,103,4,4,43,6,23.5,0
152,353,26,8,0,9,0,3,0,3,8,29.62,10,1,0,0,1,0,0,0,1,0,0.62,0.42,1,9,0,0,48,1,5,45,2,56,0
632,1009,625,58,2,9,4,109,42,67,67,9.48,90,2,0,0.21,5,1,11,1,4,2117,0.92,0.16,0.56,5,8,0,172,3,5,58,8,30.25,0
352,1157,330,0,14,6,1,194,25,169,34,22.41,119,1,0,0,5,0,0,0,5,535,0.9,0.14,1,6,25,0,118,8,8,53,9,24.67,0
232,580,232,17,0,4,1,50,25,25,18,20.67,33,1,0,0,8,0,0,1,7,0,0.46,0.35,1,4,1,0,67,4,5,19,5,29.4,0
161,489,161,7,0,6,1,35,1,34,7,43.57,23,1,0,0,4,1,1,0,4,0,0.5,0.43,0.17,1,0,0,144,2,17,132,8,59.38,0
448,1733,448,5,6,2,1,331,127,204,16,75.31,137,1,0,0,38,0,0,0,38,28,0.57,0.17,0.5,1,9,0,133,4,10,95,6,51,0
420,600,420,5,3,8,4,81,15,66,14,27,57,1,0,0,8,0,0,0,8,71,0.88,0.29,0.75,2,0,8,64,3,21,47,5,31,0
